|id|name|address_name|address_comment|lat|lon|rubrics|review_point|review_count
0|70000001017303006|Булочные Ф. Вольчека, пекарня|Суворовский проспект, 6|цокольный этаж|59.93287|30.368447|['Пекарни', 'Кондитерские изделия', 'Мороженое']|4.9|777
1|5348552838735160|Пирожковая на Московском, кафе быстрого питания|Московский проспект, 192|1 этаж|59.863415|30.321338|['Пекарни', 'Быстрое питание', 'Доставка готовых блюд']|4.8|1886
2|70000001006539313|Пироговый дворик, кафе-пекарня|улица Савушкина, 1/2|1 этаж|59.98727|30.300923|['Пекарни', 'Доставка готовых блюд', 'Быстрое питание']|4.2|7
3|5348552838552300|Вкусные штучки, кондитерская|Красного Курсанта, 1|1 этаж|59.954909|30.293453|['Кондитерские изделия', 'Кафе', 'Кофейни', 'Мороженое']|4.7|585
4|5348552838535461|Entree, французский ресторан|Никольская площадь, 6|1 этаж|59.922514|30.303085|['Пекарни', 'Рестораны', 'Доставка готовых блюд']|4.7|815
5|5348552840230555|Торт Вашей Мечты, производственная компания|Гороховая, 52|цокольный этаж|59.924272|30.328608|['Кондитерские изделия']|0.0|191
6|70000001017331016|Пышечная-пирожковая|Бронницкая, 16|1 этаж|59.915293|30.3219|['Пекарни']|4.9|427
7|70000001024048146|Британские Пекарни, кафе-кондитерская|Новочеркасский проспект, 41|1 этаж|59.929391|30.410672|['Пекарни', 'Кофейни', 'Доставка готовых блюд', 'Кафе-кондитерские']|4.7|656
8|70000001006462637|Буше, пекарня-кондитерская|Московский проспект, 35|1 этаж|59.913779|30.317917|['Пекарни', 'Кондитерские изделия', 'Доставка готовых блюд', 'Кафе-кондитерские']|4.6|706
9|70000001019786669|Штолле, кафе-пироговая|Московский проспект, 105|1-2 этаж|59.890762|30.318875|['Хлебобулочные изделия', 'Доставка готовых блюд', 'Кафе', 'Продукты быстрого приготовления']|4.3|468
10|70000001020554218|Булочные Ф. Вольчека, пекарня|Кузнечный переулок, 8|1 этаж|59.927535|30.350932|['Пекарни', 'Кондитерские изделия', 'Мороженое']|4.8|658
11|70000001022269478|Yagoda, кофейня|Кронверкский проспект, 65/37|1 этаж|59.953844|30.306408|['Кондитерские изделия', 'Кофейни', 'Продажа кофе', 'Доставка готовых блюд']|4.5|419
12|70000001021200995|Пышечная-пирожковая|Кузнечный переулок, 8|1 этаж|59.92751|30.35115|['Пекарни', 'Быстрое питание']|4.9|487
13|70000001006828916|City coffee, кофейня|Садовая улица, 54|1 этаж|59.922672|30.308724|['Кондитерские изделия', 'Кофейни', 'Продажа чая', 'Продажа кофе']|4.4|55
14|70000001019836237|Roni`s donuts, кофейня|Воскова, 15|1 этаж|59.957934|30.307038|['Кондитерские изделия', 'Кофейни', 'Доставка готовых блюд']|4.5|150
15|5348552840819024|Пироговый дворик, кафе-пекарня|Старо-Петергофский проспект, 43-45|1 этаж|59.902093|30.275084|['Пекарни', 'Доставка готовых блюд', 'Кафе']|4.3|231
16|5348552838589862|Пышка пышка, пышечная|Садовая улица, 51|1 этаж|59.923784|30.310272|['Пекарни', 'Кафе-кондитерские', 'Кондитерские изделия']|4.4|250
17|70000001028368300|Pan&Cake|Мира, 7г|1 этаж|59.959306|30.314494|['Кондитерские изделия', 'Доставка готовых блюд', 'Кафе-кондитерские', 'Кофейни']|4.8|938
18|70000001029716852|Забыли сахар, кафе|проспект Медиков, 10 к1|2 этаж|59.973486|30.315623|['Кондитерские изделия', 'Кафе', 'Кофейни', 'Кафе-кондитерские']|4.5|1257
19|5348552838577626|Север-Метрополь, кафе-кондитерская|Садовая улица, 22|1 этаж|59.933023|30.333043|['Пекарни', 'Кафе-кондитерские', 'Кофейни', 'Кондитерские изделия']|4.7|461
20|70000001085345125|Цех85, пекарня-кондитерская|Моисеенко, 27|Нет|59.937329|30.385579|['Пекарни', 'Кофейни']|0.0|3
21|70000001084557714|Ruoka, магазин продуктов|Греческий проспект, 27|Нет|59.938319|30.369834|['Кондитерские изделия', 'Бытовая химия', 'Продажа кофе', 'Косметика / Парфюмерия', 'Продажа чая']|2.7|7
22|70000001084534211|Булочные Ф. Вольчека, пекарня|Загородный проспект, 13|цокольный этаж|59.926202|30.342133|['Пекарни', 'Кондитерские изделия', 'Мороженое']|4.1|4
23|70000001084526057|Цех85, пекарня-кондитерская|Моисеенко, 27|Нет|59.937374|30.385758|['Пекарни', 'Кондитерские изделия', 'Кафе-кондитерские', 'Доставка готовых блюд', 'Кофейни']|0.0|3
24|70000001084473680|ВкусВилл, офис|Кременчугская улица, 13 к1|Нет|59.921937|30.371323|['Кулинарии']|4.4|107
25|70000001084453648|Репа, кулинария|Парадная, 3 к2|Нет|59.941602|30.367576|['Кулинарии']|0.0|2
26|70000001084459855|Тёплого хлеба, пекарня|Александра Матросова, 3 ст1|Нет|59.978194|30.335701|['Пекарни']|4.3|5
27|70000001084414239|Новозеландская пекарня|Московский проспект, 73 к5|напротив парковки|59.903732|30.314346|['Пекарни']|4.4|61
28|70000001084277482|Булочные Ф. Вольчека, пекарня|Наличная улица, 40 к1|Нет|59.949289|30.231557|['Пекарни', 'Кондитерские изделия']|0.0|1
29|70000001084160027|Олины булки, кафе-пекарня|Лиговский проспект, 175|1 этаж|59.913163|30.348817|['Пекарни', 'Кондитерские изделия', 'Кофейни']|0.0|0
30|70000001084033630|Хлебник, пекарня|Средний проспект В.О., 18|1 этаж|59.944228|30.282656|['Пекарни', 'Кондитерские изделия', 'Кафе-кондитерские']|4.4|202
31|70000001083874425|Хлебник, пекарня|Лодейнопольская, 7 ст1|1 этаж|59.964284|30.290024|['Пекарни', 'Кондитерские изделия', 'Кафе-кондитерские']|4.3|127
32|70000001083913536|St_berry, мастерская сладких подарков|Мытнинская, 10|Нет|59.932127|30.37561|['Кондитерские изделия']|4.5|64
33|70000001083877490|Сладости для радости, кондитерский магазин|улица Куйбышева, 10|Нет|59.955243|30.326349|['Кондитерские изделия']|4.5|34
34|70000001083803678|Столовая комната|Гороховая, 32|Нет|59.929577|30.320612|['Кулинарии', 'Столовые', 'Быстрое питание', 'Кафе']|4.8|22
35|70000001082874310|Не делись, пекарня|Аптекарский проспект, 18|1 этаж|59.974331|30.318541|['Пекарни', 'Кафе-кондитерские']|4.4|197
36|70000001083552313|Шаляпин, кулинария|Большая Зеленина, 32|Нет|59.964774|30.284443|['Кулинарии', 'Доставка готовых блюд']|4.4|36
37|70000001083594114|Berry Sweets, компания|Можайская, 28|Нет|59.915552|30.328683|['Кондитерские изделия', 'Сувенирные композиции']|4.2|2
38|70000001083534919|Шоколадница, кофейня|Брантовская дорога, 3|1 этаж|59.939482|30.416912|['Кондитерские изделия', 'Кофейни', 'Доставка готовых блюд', 'Кафе']|0.0|1
39|70000001083508670|Chocolatheca|Большой проспект В.О., 16|1 этаж|59.939344|30.28589|['Кондитерские изделия']|4.7|18
40|70000001083462726|Хлебник, пекарня|Маяковского, 34|цокольный этаж|59.939679|30.355021|['Пекарни', 'Кондитерские изделия', 'Кафе-кондитерские']|4.3|245
41|70000001083431945|Лавка хлебосолов, семейная кулинария|Разъезжая, 1|Нет|59.925631|30.342273|['Пекарни', 'Кулинарии', 'Кондитерские изделия', 'Кафе-кондитерские']|4.7|94
42|70000001083429948|Uppetit, магазин готовой еды|Магнитогорская, 3 к3 стр|Нет|59.937544|30.416354|['Кулинарии']|5.0|43
43|70000001083364555|Мята Миндаль, магазин орехов и сухофруктов|1-я Красноармейская улица, 15|1 этаж|59.916206|30.309527|['Кондитерские изделия', 'Орехи / Семечки / Сухофрукты']|0.0|5
44|70000001083370068|Мишка, пекарня|Пискарёвский проспект, 1|1 этаж|59.958184|30.406286|['Пекарни', 'Кафе-кондитерские', 'Доставка готовых блюд', 'Кондитерские изделия', 'Кулинарии']|4.8|16
45|70000001083285582|Хлебник, пекарня|набережная Макарова, 28|Нет|59.948455|30.280969|['Пекарни']|4.3|245
46|70000001083045675|Gastronomist, кофейня-кулинария|улица Чапаева, 15|1 этаж|59.961394|30.331113|['Кулинарии', 'Кофейни']|3.9|7
47|70000001083241371|La Mancha|Лиговский проспект, 271|16Н помещение; 1 этаж|59.906857|30.339926|['Кондитерские изделия', 'Кофейни']|4.0|1
48|70000001083026137|Uppetit, магазин готовой еды|набережная канала Грибоедова, 15|Нет|59.936715|30.326515|['Кулинарии', 'Доставка готовых блюд', 'Быстрое питание']|5.0|49
